filename,profile,duration_label,duration_requested_min,run_idx,capture_duration_s,packets_total,bytes_total,mean_bps,peak_mbps_1s,tcp_pkts,udp_pkts,icmp_pkts,other_pkts,udp443_pkts,tcp443_pkts,top_udp_dport,top_udp_dport_pkts,top_tcp_dport,top_tcp_dport_pkts,capinfos_truncated,capinfos_stderr,totals_source,totals_consistent,error,path
capturaAgenteAdmin15m1.pcapng,admin,15m,15,1,911.950820221,40485,4794657,42060.6628663425,0.217888,39911,516,316,0,0,0,53,516,22,24660,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m1.pcapng
capturaAgenteAdmin15m2.pcapng,admin,15m,15,2,924.977196888,40643,4867827,42101.16328382886,0.208,39917,660,396,0,0,0,53,660,22,24749,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m2.pcapng
capturaAgenteAdmin15m3.pcapng,admin,15m,15,3,905.253735672,41400,4999125,44178.7737780633,0.24848,40790,540,340,0,0,0,53,540,22,25204,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m3.pcapng
capturaAgenteAdmin15m4.pcapng,admin,15m,15,4,920.534519704,39945,4882054,42427.9928280785,0.219584,39364,516,322,1,0,0,53,516,22,24316,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m4.pcapng
capturaAgenteAdmin15m5.pcapng,admin,15m,15,5,933.252405618,42071,5149796,44144.93630232695,0.240064,41451,556,342,0,0,0,53,556,22,25468,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m5.pcapng
capturaAgenteAdmin1h1.pcapng,admin,1h,60,1,3652.976386617,170519,21366952,46793.517917673285,0.487816,167919,2316,1434,8,0,0,53,2316,22,104180,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h1.pcapng
capturaAgenteAdmin1h2.pcapng,admin,1h,60,2,3614.360718066,164288,21298291,47141.48401080776,0.417096,161815,2204,1362,9,0,0,53,2204,22,99866,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h2.pcapng
capturaAgenteAdmin1h3.pcapng,admin,1h,60,3,3613.19716582,160660,19607859,43413.86998857579,0.302056,158166,2196,1394,2,0,0,53,2196,22,97815,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h3.pcapng
capturaAgenteAdmin1h4.pcapng,admin,1h,60,4,3628.759555684,168082,20150133,44423.186911763994,0.285352,165690,2124,1330,0,0,0,53,2124,22,102485,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h4.pcapng
capturaAgenteAdmin1h5.pcapng,admin,1h,60,5,3617.822138295,159505,19159965,42367.95346501953,0.276224,156930,2260,1444,1,0,0,53,2260,22,96832,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h5.pcapng
capturaAgenteAdmin5m1.pcapng,admin,5m,5,1,328.530845159,14883,1841534,44842.88832261695,0.321056,14645,204,130,6,0,0,53,204,22,9063,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m1.pcapng
capturaAgenteAdmin5m2.pcapng,admin,5m,5,2,337.387093457,14867,1887555,44757.017363275496,0.343968,14618,228,134,1,0,0,53,228,22,9066,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m2.pcapng
capturaAgenteAdmin5m3.pcapng,admin,5m,5,3,316.314626562,15184,1944207,49171.47262221644,0.32036,14942,212,136,0,0,0,53,212,22,9182,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m3.pcapng
capturaAgenteAdmin5m4.pcapng,admin,5m,5,4,315.689732071,14771,1845857,46776.48494655148,0.347712,14468,272,166,1,0,0,53,272,22,8875,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m4.pcapng
capturaAgenteAdmin5m5.pcapng,admin,5m,5,5,292.693856927,14231,1761150,48136.30237382792,0.357888,14007,196,126,0,0,0,53,196,22,8600,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m5.pcapng
capturaAgenteGamer15m1.pcapng,gamer,15m,15,1,919.65612,183988,134743256,1172118.6045062148,26.403888,24252,159685,7,51,137,2605,53103,86151,52021,13473,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m1.pcapng
capturaAgenteGamer15m2.pcapng,gamer,15m,15,2,984.858566,174115,127237926,1033552.8807290691,24.982448,20399,153655,0,61,389,2192,61839,83833,52137,9575,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m2.pcapng
capturaAgenteGamer15m3.pcapng,gamer,15m,15,3,935.245355,112538,58067539,496704.21725858236,21.524888,8183,104319,6,36,783,1491,57650,42145,52243,1639,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m3.pcapng
capturaAgenteGamer15m4.pcapng,gamer,15m,15,4,920.866992,210751,138339238,1201817.3239072945,27.762312,32876,177826,5,49,353,3971,54908,82979,52349,5350,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m4.pcapng
capturaAgenteGamer15m5.pcapng,gamer,15m,15,5,907.96254,180231,111377885,981343.437362515,21.336152,15489,164689,4,51,367,1970,58967,76799,52527,5622,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m5.pcapng
capturaAgenteGamer1h1.pcapng,gamer,1h,60,1,3526.931681,540181,320838480,727745.2676010596,22.951704,28080,511036,2,1063,612,5867,61915,253491,443,5867,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h1.pcapng
capturaAgenteGamer1h2.pcapng,gamer,1h,60,2,3635.942429,694726,489307646,1076601.5261348903,77.789816,159250,535252,0,224,3090,32422,63976,191526,56206,33496,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h2.pcapng
capturaAgenteGamer1h3.pcapng,gamer,1h,60,3,3661.05386,849648,576593080,1259949.95331754,28.558408,62875,786595,1,178,848,9299,62418,441026,443,9299,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h3.pcapng
capturaAgenteGamer1h4.pcapng,gamer,1h,60,4,3602.287559,830532,649360810,1442107.659345804,42.777504,145623,684729,4,180,2010,14616,55733,420069,52897,69042,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h4.pcapng
capturaAgenteGamer1h5.pcapng,gamer,1h,60,5,3605.244952,731262,515613699,1144141.2849664257,60.695648,63037,668048,2,175,969,10615,65182,394334,443,10615,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h5.pcapng
capturaAgenteGamer5m1.pcapng,gamer,5m,5,1,311.469691,300962,286422814,7356678.926425621,54.488416,263412,37526,7,24,278,69627,27019,15782,56612,98099,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer5m1.pcapng
capturaAgenteGamer5m2.pcapng,gamer,5m,5,2,313.099892,59633,44566227,1138709.4825315366,16.105296,14392,45230,0,11,280,3794,59165,25440,56718,5088,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer5m2.pcapng
capturaAgenteGamer5m3.pcapng,gamer,5m,5,3,328.766532,64772,47583459,1157866.2514224532,26.176056,17686,47061,8,25,393,2063,64785,24214,50359,8491,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer5m3.pcapng
capturaAgenteGamer5m4.pcapng,gamer,5m,5,4,299.996581,49927,32509668,866934.3601619246,18.591872,3895,46004,5,28,553,618,64248,22541,53021,1620,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer5m4.pcapng
capturaAgenteGamer5m5.pcapng,gamer,5m,5,5,390.909474,68414,47143634,964799.006124881,25.51468,8255,60135,10,24,284,1391,56987,34722,59545,2818,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer5m5.pcapng
capturaAgenteWeb15m1.pcapng,regular,15m,15,1,914.319014,119705,109780491,960544.3117253165,39.769808,53823,65812,0,70,13461,13779,443,13461,62866,15737,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb15m1.pcapng
capturaAgenteWeb15m2.pcapng,regular,15m,15,2,916.531805,106740,89288485,779359.6208044302,30.091472,45564,61132,6,44,13131,11813,443,13131,443,11813,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb15m2.pcapng
capturaAgenteWeb15m3.pcapng,regular,15m,15,3,919.273215,346134,357650958,3112467.1287197242,74.3714,309989,36094,0,51,7877,75847,443,7877,443,75847,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb15m3.pcapng
capturaAgenteWeb15m4.pcapng,regular,15m,15,4,916.120159,141446,138142361,1206325.2589118062,34.64152,70872,70533,0,41,14314,17357,443,14314,443,17357,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb15m4.pcapng
capturaAgenteWeb15m5.pcapng,regular,15m,15,5,910.225539,84056,72911341,640819.99791043,43.755912,49617,34393,0,46,7879,12000,443,7879,443,12000,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb15m5.pcapng
capturaAgenteWeb1h1.pcapng,regular,1h,60,1,3637.484546,593635,512827446,1127872.7142666464,63.819944,416319,177125,63,191,40646,110924,443,40646,443,110924,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb1h1.pcapng
capturaAgenteWeb1h2.pcapng,regular,1h,60,2,3693.624727,522060,479121482,1037726.3905510994,75.284184,362482,159206,20,353,35613,87934,443,35613,443,87934,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb1h2.pcapng
capturaAgenteWeb1h3.pcapng,regular,1h,60,3,3998.771487,308537,240781045,481710.0367605977,49.065312,185736,122604,20,178,30690,44222,443,30690,443,44222,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb1h3.pcapng
capturaAgenteWeb1h4.pcapng,regular,1h,60,4,3664.174102,845280,810619571,1769827.6303138393,72.757432,650803,194324,1,153,44282,170377,443,44282,443,170377,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb1h4.pcapng
capturaAgenteWeb1h5.pcapng,regular,1h,60,5,3599.975386,273784,193048836,429000.34650403576,24.443384,143271,130190,36,323,35090,33281,443,35090,443,33281,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb1h5.pcapng
capturaAgenteWeb5m1.pcapng,regular,5m,5,1,311.549593,154181,143381228,3681756.772508446,74.323696,126817,27333,12,31,6536,31516,443,6536,443,31516,0,,tshark_io_stat,0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb5m1.pcapng
capturaAgenteWeb5m2.pcapng,regular,5m,5,2,313.732953,49404,45663999,1164404.2760149585,39.475368,34012,15377,0,15,3932,8405,443,3932,443,8405,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb5m2.pcapng
capturaAgenteWeb5m3.pcapng,regular,5m,5,3,369.109201,60453,59550897,1290694.3926331438,27.38452,26322,34120,0,11,6266,5710,52052,7266,52135,6430,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb5m3.pcapng
capturaAgenteWeb5m4.pcapng,regular,5m,5,4,303.940672,110286,113838510,2996335.0215926347,74.034024,75711,34570,0,5,5494,19893,55069,8280,443,19893,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb5m4.pcapng
capturaAgenteWeb5m5.pcapng,regular,5m,5,5,355.168124,70086,65163574,1467779.783075353,40.656424,48173,21899,0,14,4648,13464,58763,10547,443,13464,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteWeb5m5.pcapng
oldcapturaAgenteGamer1h1.pcapng,,,,,3526.931681,540181,320838480,727745.2676010596,22.951704,28080,511036,2,1063,612,5867,61915,253491,443,5867,0,,tshark_io_stat,1,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/oldcapturaAgenteGamer1h1.pcapng
