filename,profile,duration_label,duration_requested_min,run_idx,capture_duration_s,capinfos_truncated,capinfos_stderr,flows,flows_per_min,median_bytes_per_flow,median_dur_s,median_pkts_per_flow,error,path
capturaAgenteAdmin15m1.pcapng,admin,15m,15,1,911.950820221,0,,392,25.790864461638645,146.0,0.0010393857955932617,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m1.pcapng
capturaAgenteAdmin15m2.pcapng,admin,15m,15,2,924.977196888,0,,462,29.968306346644404,146.0,0.0007221698760986328,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m2.pcapng
capturaAgenteAdmin15m3.pcapng,admin,15m,15,3,905.253735672,0,,432,28.632856158012675,146.0,0.0009618997573852539,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m3.pcapng
capturaAgenteAdmin15m4.pcapng,admin,15m,15,4,920.534519704,0,,400,26.0718088092093,146.0,0.0007233619689941406,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m4.pcapng
capturaAgenteAdmin15m5.pcapng,admin,15m,15,5,933.252405618,0,,431,27.709545503797017,146.0,0.0008444786071777344,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin15m5.pcapng
capturaAgenteAdmin1h1.pcapng,admin,1h,60,1,3652.976386617,0,,1707,28.03741091106547,146.0,0.0006694793701171875,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h1.pcapng
capturaAgenteAdmin1h2.pcapng,admin,1h,60,2,3614.360718066,0,,1647,27.340934596278306,146.0,0.0007967948913574219,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h2.pcapng
capturaAgenteAdmin1h3.pcapng,admin,1h,60,3,3613.19716582,0,,1639,27.21689282009667,146.0,0.0007436275482177734,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h3.pcapng
capturaAgenteAdmin1h4.pcapng,admin,1h,60,4,3628.759555684,0,,1685,27.860760253910854,146.0,0.0008406639099121094,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h4.pcapng
capturaAgenteAdmin1h5.pcapng,admin,1h,60,5,3617.822138295,0,,1682,27.895235349397627,146.0,0.0007672309875488281,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin1h5.pcapng
capturaAgenteAdmin5m1.pcapng,admin,5m,5,1,328.530845159,0,,154,28.12521300862356,144.0,0.0007370710372924805,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m1.pcapng
capturaAgenteAdmin5m2.pcapng,admin,5m,5,2,337.387093457,0,,168,29.876661542433002,144.0,0.0008537769317626953,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m2.pcapng
capturaAgenteAdmin5m3.pcapng,admin,5m,5,3,316.314626562,0,,162,30.728898330266773,144.0,0.0008757114410400391,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m3.pcapng
capturaAgenteAdmin5m4.pcapng,admin,5m,5,4,315.689732071,0,,180,34.2108054295888,145.0,3.707408905029297e-05,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m4.pcapng
capturaAgenteAdmin5m5.pcapng,admin,5m,5,5,292.693856927,0,,152,31.158836388816297,146.0,0.0008671283721923828,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteAdmin5m5.pcapng
capturaAgenteGamer15m1.pcapng,gamer,15m,15,1,919.65612,0,,478,31.185569667062072,225.0,0.012827038764953613,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m1.pcapng
capturaAgenteGamer15m2.pcapng,gamer,15m,15,2,984.858566,0,,510,31.07045118598278,222.0,0.007559657096862793,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m2.pcapng
capturaAgenteGamer15m3.pcapng,gamer,15m,15,3,935.245355,0,,496,31.820526924723406,205.0,0.004597067832946777,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m3.pcapng
capturaAgenteGamer15m4.pcapng,gamer,15m,15,4,920.866992,0,,563,36.682822050809264,225.0,0.021667957305908203,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m4.pcapng
capturaAgenteGamer15m5.pcapng,gamer,15m,15,5,907.96254,0,,507,33.503584850538,205.0,0.008313894271850586,2.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer15m5.pcapng
capturaAgenteGamer1h1.pcapng,gamer,1h,60,1,3526.931681,0,,1474,25.075620397309304,205.0,0.0,1.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h1.pcapng
capturaAgenteGamer1h2.pcapng,gamer,1h,60,2,3635.942429,0,,1724,28.449295339488998,205.0,0.0,1.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h2.pcapng
capturaAgenteGamer1h3.pcapng,gamer,1h,60,3,3661.05386,0,,1604,26.287512743666657,205.0,0.0,1.0,,/Users/antoniomunoz/Desktop/BENIGM AGENT/pcapng/capturaAgenteGamer1h3.pcapng
